cycle_index,Capacity,IR,Temp_med,Iabs_med_dis,SOH_R,SOH_Q,RUL_cycles,cell_id,EoL,base_battery,profile_type
0,1.8583864787515847,,24.66411560319836,0.0137553984610947,,1.014329626179032,318,B0005_A00,False,B0005,Aggressive
1,1.8541864885252817,,32.38703867741887,1.8998915215866048,,1.011084772419308,317,B0005_A00,False,B0005,Aggressive
2,1.8496813499223257,,26.06880278628696,0.2485315575347154,,1.0081773716351468,316,B0005_A00,False,B0005,Aggressive
3,1.8461828395640367,,31.485600510782795,1.655487942901503,,1.0049584850454896,315,B0005_A00,False,B0005,Aggressive
4,1.8392008404451472,,26.913328220259807,0.4803511797242818,,1.002168188785833,314,B0005_A00,False,B0005,Aggressive
5,1.8341743289111008,,30.430736621664188,1.4276531653059927,,0.9995751553668836,313,B0005_A00,False,B0005,Aggressive
6,1.8333799781970408,,27.756032666515377,0.7314091124260952,,0.9993949920096404,312,B0005_A00,False,B0005,Aggressive
7,1.8320189683260777,,29.36035987386801,1.185970762527755,,0.9999674964874709,311,B0005_A00,False,B0005,Aggressive
8,1.8278303162970595,,28.47696583242658,0.9668209369987582,,0.9994130374304424,310,B0005_A00,False,B0005,Aggressive
9,1.830969101678572,,28.36999477523722,0.9376095011165838,,0.9988561435213874,309,B0005_A00,False,B0005,Aggressive
10,1.8336989403526505,,29.35211282531189,1.2117146640076606,,0.999375796332236,308,B0005_A00,False,B0005,Aggressive
11,1.8314698487264691,,27.465397739793804,0.6978473077652448,,0.9993629544346996,307,B0005_A00,False,B0005,Aggressive
12,1.8312664005892745,,30.349233156854737,1.444699284748061,,0.9995962790360092,306,B0005_A00,False,B0005,Aggressive
13,1.8270631038859504,,26.782106398637712,0.4495884577734783,,0.9977847492345598,305,B0005_A00,False,B0005,Aggressive
14,1.8217679005776817,,31.301814731221008,1.6801416797060809,,0.9950826323296365,304,B0005_A00,False,B0005,Aggressive
15,1.8178382630235244,,25.78161783417226,0.2254610587820095,,0.9944176528445612,303,B0005_A00,False,B0005,Aggressive
16,1.8177325059331255,,32.228372769200696,1.935266145556987,,0.9938129334165748,302,B0005_A00,False,B0005,Aggressive
17,1.8200679381975005,,25.0995600502442,0.0463147323972393,,0.9938830499928144,301,B0005_A00,False,B0005,Aggressive
18,1.82530754991266,,31.83512273079275,1.8835179190282432,,0.9943143402049694,300,B0005_A00,False,B0005,Aggressive
19,1.8258487982301133,,25.80586180114038,0.2858188067958975,,0.993828183741361,299,B0005_A00,False,B0005,Aggressive
20,1.8251378843666184,,30.70903426818193,1.630240916499029,,0.993523099939008,298,B0005_A00,False,B0005,Aggressive
21,1.8203340133547992,,24.938686412251084,0.0080861971231706,,0.9920559967386666,297,B0005_A00,False,B0005,Aggressive
22,1.8156093169108432,,27.32138626805731,0.6386569297593148,,0.9902320628326212,296,B0005_A00,False,B0005,Aggressive
23,1.8149655914402985,,29.63109307142504,1.2624148210979096,,0.9894100771705364,295,B0005_A00,False,B0005,Aggressive
24,1.8150572825427844,,28.2010599124259,0.8709652123069167,,0.9888189119231864,294,B0005_A00,False,B0005,Aggressive
25,1.8135265037749848,,28.568628282728,1.0183089134024377,,0.9877481302163617,293,B0005_A00,False,B0005,Aggressive
26,1.8116375406985417,,28.81491557861485,1.1057389897638967,,0.9878405210647332,292,B0005_A00,False,B0005,Aggressive
27,1.808340450534925,,27.658714781761528,0.7793249134605607,,0.9862129340941812,291,B0005_A00,False,B0005,Aggressive
28,1.802034390608648,,29.747589812208933,1.359182181314127,,0.9837303248606362,290,B0005_A00,False,B0005,Aggressive
29,1.8005393191150456,,26.661508739866925,0.5394119355883036,,0.9831001066746644,289,B0005_A00,False,B0005,Aggressive
30,1.8002609825908034,,30.470118493441475,1.591986442705939,,0.9830007657855768,288,B0005_A00,False,B0005,Aggressive
31,1.8014591141229956,,25.812626251369267,0.2992510121379079,,0.983223597313945,287,B0005_A00,False,B0005,Aggressive
32,1.799707703737037,,31.400270318486072,1.8294289081512545,,0.9830251115956992,286,B0005_A00,False,B0005,Aggressive
33,1.8024106755025215,,24.91303391642956,0.0669402439086149,,0.9824174994874514,285,B0005_A00,False,B0005,Aggressive
34,1.8075078518982333,,31.81572181828283,1.9584513138814872,,0.982578425998136,284,B0005_A00,False,B0005,Aggressive
35,1.8085139637534913,,25.32591150496406,0.1953932270562352,,0.98292012766368,283,B0005_A00,False,B0005,Aggressive
36,1.810975830819123,,30.922900114660308,1.7220497782841886,,0.9848556521624828,282,B0005_A00,False,B0005,Aggressive
37,1.8349637616903312,,26.591624317539495,0.4319287502045772,,0.9818687732407072,281,B0005_A00,False,B0005,Aggressive
38,1.8496671998760592,,30.5691695246174,1.481717534954014,,0.9808201506733504,280,B0005_A00,False,B0005,Aggressive
39,1.8466390597145508,,27.886694154555485,0.6770987464975079,,0.9762147460022594,279,B0005_A00,False,B0005,Aggressive
40,1.846036236694856,,29.81954884644237,1.2440113373150905,,0.9759702063771276,278,B0005_A00,False,B0005,Aggressive
41,1.8389946826074048,,28.45142277763941,0.9169575222551728,,0.9764004522167044,277,B0005_A00,False,B0005,Aggressive
42,1.8309971683895585,,28.54744678590764,1.006311448336669,,0.9736779495777363,276,B0005_A00,False,B0005,Aggressive
43,1.8244830539797388,,28.949964771109254,1.163654078577883,,0.9783182380493916,275,B0005_A00,False,B0005,Aggressive
44,1.8208005148604671,,27.342107815627205,0.7775398868399073,,0.982412784158764,274,B0005_A00,False,B0005,Aggressive
45,1.8216318800942983,,29.640943192211555,1.407512395403501,,0.9846342165133232,273,B0005_A00,False,B0005,Aggressive
46,1.8234194920934383,,26.5064869095254,0.5261564836727847,,0.994152504538946,272,B0005_A00,False,B0005,Aggressive
47,1.8255651252849237,,30.508911966225917,1.633933365042633,,0.9940166851974048,271,B0005_A00,False,B0005,Aggressive
48,1.8221270534336853,,25.593093897502307,0.2695681211916834,,0.9915327087848336,270,B0005_A00,False,B0005,Aggressive
49,1.8169912154878232,,31.255308604525336,1.8730897142258256,,0.9883704746811252,269,B0005_A00,False,B0005,Aggressive
50,1.816073813322674,,24.416096887350907,0.0403805705224113,,0.9885026102293668,268,B0005_A00,False,B0005,Aggressive
51,1.8150227256941376,,31.301809690770963,1.9488075185963607,,0.9889558432999864,267,B0005_A00,False,B0005,Aggressive
52,1.8119556044855705,,24.968348083696572,0.2416746538408037,,0.988691803615148,266,B0005_A00,False,B0005,Aggressive
53,1.813026618616706,,30.449158184190047,1.6904017074626738,,0.9880832380375476,265,B0005_A00,False,B0005,Aggressive
54,1.8067867906352209,,25.985951957369423,0.473309965543267,,0.9847794438960804,264,B0005_A00,False,B0005,Aggressive
55,1.8019989364210025,,29.461703230567,1.4416620964356408,,0.9830234082824788,263,B0005_A00,False,B0005,Aggressive
56,1.8049097346966063,,26.80080862375539,0.7053173565799064,,0.9839369319615442,262,B0005_A00,False,B0005,Aggressive
57,1.809997913342268,,28.7995511730968,1.199161831182704,,0.9868888932863208,261,B0005_A00,False,B0005,Aggressive
58,1.8283964227315257,,24.355790257774697,0.0050143653295279,,0.995872951700856,260,B0005_A00,False,B0005,Aggressive
59,1.8455631179211107,,28.07986879790956,1.0684361927072514,,1.0050320127346386,259,B0005_A00,False,B0005,Aggressive
60,1.8449023544043133,,27.44405297875138,0.8442719225653182,,1.0056244542306043,258,B0005_A00,False,B0005,Aggressive
61,1.8337385361512544,,29.224298561232377,1.3109861632811857,,1.0003672553271994,257,B0005_A00,False,B0005,Aggressive
62,1.8279991385914796,,26.355205023512763,0.6125213949251744,,0.99618588351472,256,B0005_A00,False,B0005,Aggressive
63,1.823422534641986,,29.95795759620978,1.5380001032686643,,0.9925334461029122,255,B0005_A00,False,B0005,Aggressive
64,1.819901940602493,,25.066863207046215,0.3492054885144349,,0.9896891505616222,254,B0005_A00,False,B0005,Aggressive
65,1.81399524513074,,30.556514035166096,1.76178824879353,,0.986660145429455,253,B0005_A00,False,B0005,Aggressive
66,1.8161373413024071,,24.008460820989864,0.1164495315869205,,0.9851564949766682,252,B0005_A00,False,B0005,Aggressive
67,1.8102581190646865,,31.34737160637342,2.00606998603706,,0.9845345929902458,251,B0005_A00,False,B0005,Aggressive
68,1.8056697945147704,,24.517854896383295,0.1411414223407168,,0.982930379156944,250,B0005_A00,False,B0005,Aggressive
69,1.8016748085707823,,31.08339871495271,1.764515400315115,,0.9808483376004822,249,B0005_A00,False,B0005,Aggressive
70,1.7928522302509478,,25.30585466214086,0.3631153354353705,,0.976614669598998,248,B0005_A00,False,B0005,Aggressive
71,1.7895157688617382,,29.75377491224352,1.5269786314830278,,0.9737905364347414,247,B0005_A00,False,B0005,Aggressive
72,1.7877935671264502,,25.977841537546077,0.6110605344828461,,0.9728652275956694,246,B0005_A00,False,B0005,Aggressive
73,1.783522427581014,,28.551921109999423,1.290863490208838,,0.9707224349721671,245,B0005_A00,False,B0005,Aggressive
74,1.7768874547257036,,26.659867718890876,0.8446114744664704,,0.9667675193245212,244,B0005_A00,False,B0005,Aggressive
75,1.7712624668892365,,27.502602713645185,1.0513563715133656,,0.965143811603414,243,B0005_A00,False,B0005,Aggressive
76,1.7702642366274923,,27.8839728224321,1.1001113994187035,,0.9657899570645851,242,B0005_A00,False,B0005,Aggressive
77,1.770544994529294,,27.102362457620757,0.8164725121411573,,0.9652522267065402,241,B0005_A00,False,B0005,Aggressive
78,1.76763195205229,,29.39092478079052,1.3339542400529043,,0.9633584783800074,240,B0005_A00,False,B0005,Aggressive
79,1.7642446030350785,,26.51392615126416,0.5702213046489546,,0.9615968377308632,239,B0005_A00,False,B0005,Aggressive
80,1.7624861650163697,,30.649106951093263,1.5723353350868217,,0.9599099719782622,238,B0005_A00,False,B0005,Aggressive
81,1.7661766846419529,,25.518137754118776,0.3142715775936747,,0.9606056721912736,237,B0005_A00,False,B0005,Aggressive
82,1.7691004174250868,,31.083955581506803,1.8018527047529704,,0.9613501118197664,236,B0005_A00,False,B0005,Aggressive
83,1.7671837886855726,,24.24198985667432,0.0763146488516593,,0.9608795306895136,235,B0005_A00,False,B0005,Aggressive
84,1.7664719094573116,,31.60031070996708,1.9757978291061007,,0.9601924705254866,234,B0005_A00,False,B0005,Aggressive
85,1.760196214300825,,24.142415529044037,0.1448153135608361,,0.9563547173378196,233,B0005_A00,False,B0005,Aggressive
86,1.7532573805225629,,30.405181772340654,1.7237856912846898,,0.9539845579874872,232,B0005_A00,False,B0005,Aggressive
87,1.748735125430862,,24.882117556493597,0.3839052224765926,,0.9511002975937692,231,B0005_A00,False,B0005,Aggressive
